CONTAINER,CONTAINER PHONE NO,PHONE TYPE,SPECS,CAMERA SPECS,ANDROID VERSION,REGION ,LATITUDE,LONGTUDE ,EMPLOYEE 1,EMPLOYEE 2
Meru,704143256,Redmi 9A,"RAM 2GB, R0M 32gb,cpu 2.00GHz,","Rear 13pizzels, 5mp front",10,MT KENYA,0.054227,37.646475,SO087,_
kisii,717378725,Redmi 9A,"RAM 2GB, R0M 32gb,cpu 2.00GHz,","Rear 13pizzels, 5mp front",10,NYANZA,-0.535526,34.778122,SO101,SO151
Nanyuki,114992352,Redmi 9A,"RAM 2GB, R0M 32gb,cpu 2.00GHz,","Rear 13pizzels, 5mp front",10,MT KENYA,0.011976,37.080806,SO0153,SO220
Embu,704145546,Redmi 9A,"RAM 2GB, R0M 32gb,cpu 2.00GHz,","Rear 13pizzels, 5mp front",10,MT KENYA,-0.541313,37.451417,SO088,SO0133
Nyeri,114985672,Redmi 9A,"RAM 2GB, R0M 32gb,cpu 2.00GHz,","Rear 13pizzels, 5mp front",10,MT KENYA,-0.433569,36966755,SO072,SO0075
Isiolo,704132094,Redmi 9A,"RAM 2GB, R0M 32gb,cpu 2.00GHz,","Rear 13pizzels, 5mp front",10,EASTERN,0.492459,34.13369,SO165,SO177
Busia,790849178,Redmi 9A,"RAM 2GB, R0M 32gb,cpu 2.00GHz,","Rear 13pizzels, 5mp front",10,WESTERN,0.492545,34.133715,SO208,SO208
Kakamega ,717380734,Redmi 9A,"RAM 2GB, R0M 32gb,cpu 2.00GHz,","Rear 13pizzels, 5mp front",10,WESTERN,0.2965999,34.765207,SO082,SO099
Kanduyi,790399672,Redmi 9A,"RAM 2GB, R0M 32gb,cpu 2.00GHz,","Rear 13pizzels, 5mp front",10,WESTERN,0.592995,34.572415,SO210,SO210
Nakuru,791357337,Redmi 9A,"RAM 2GB, R0M 32gb,cpu 2.00GHz,","Rear 13pizzels, 5mp front",10,RIFT VALLEY,-0.314232,36.140052,SO196,SO196
Eldoret,791357227,Redmi 9A,"RAM 2GB, R0M 32gb,cpu 2.00GHz,","Rear 13pizzels, 5mp front",10,RIFT VALLEY,0.476365,35.300003,SO095,SO095
Naivasha,791357491,Tecno BE6,"RAM 2GB, R0M 32gb,cpu 1.3GHz,",5 both rear and front,11,RIFT VALLEY,-0.705404,36.421871,SO077,SO084
Weitethie,727890814,Redmi 9A,"RAM 2GB, R0M 32gb,cpu 2.00GHz,","Rear 13pizzels, 5mp front",10,NAIROBI,-1.071928,37.058502,SO0128,SO131
Narok,707819392,Redmi 9A,"RAM 2GB, R0M 32gb,cpu 2.00GHz,","Rear 13pizzels, 5mp front",10,RIFT VALLEY,-1.099763,35.851152,SO016,SO216
Oyugis,717378764,Redmi 9A,"RAM 2GB, R0M 32gb,cpu 2.00GHz,","Rear 13pizzels, 5mp front",10,NYANZA,-0.495888,34.736598,SO195,SO195
Ruai,114638205,Redmi 9A,"RAM 2GB, R0M 32gb,cpu 2.00GHz,","Rear 13pizzels, 5mp front",10,NAIROBI,-1.2641148,36.980757,SO061,SO062
Ruaka,114977547,Redmi 9A,"RAM 2GB, R0M 32gb,cpu 2.00GHz,","Rear 13pizzels, 5mp front",10,NAIROBI,-1.201164,36.761862,SO188,_
Ruiru,114985477,Redmi 9A,"RAM 2GB, R0M 32gb,cpu 2.00GHz,","Rear 13pizzels, 5mp front",10,NAIROBI,-1.138383,36.952772,SO166,SO032
Kitale,791202785,Redmi 9A,"RAM 2GB, R0M 32gb,cpu 2.00GHz,","Rear 13pizzels, 5mp front",10,RIFT VALLEY,0.981823,35.036465,SO079,SO079
Kariobangi South,114635819,Redmi 9A,"RAM 2GB, R0M 32gb,cpu 2.00GHz,","Rear 13pizzels, 5mp front",10,NAIROBI,-1.263773,36.886758,SO163,SO164
Machakos,114626971,Redmi 9A,"RAM 2GB, R0M 32gb,cpu 2.00GHz,","Rear 13pizzels, 5mp front",10,EASTERN,-1.511357,37.253338,SO149,SO170
Emali,707819269,Redmi 9A,"RAM 2GB, R0M 32gb,cpu 2.00GHz,","Rear 13pizzels, 5mp front",10,EASTERN,-2.077488,37.463368,SO130,SO214
Kitengela,114634200,Redmi 9A,"RAM 2GB, R0M 32gb,cpu 2.00GHz,","Rear 13pizzels, 5mp front",10,KAJIADO,-1.469852,36.959823,SO121,SO150
Bisil,748025727,Redmi 9A,"RAM 2GB, R0M 32gb,cpu 2.00GHz,","Rear 13pizzels, 5mp front",10,KAJIADO,-2.095042,36.790619,SO272,SO272
mshomoroni,791678548,Redmi 9A,"RAM 2GB, R0M 32gb,cpu 2.00GHz,","Rear 13pizzels, 5mp front",10,COAST,-4.04355,39.6682,SO090,SO090
Kikambala,743597492,Redmi 9A,"RAM 2GB, R0M 32gb,cpu 2.00GHz,","Rear 13pizzels, 5mp front",10,COAST,-3.816626,39.814175,SO250,SO241
Kawagware ,114629404,Redmi 9A,"RAM 2GB, R0M 32gb,cpu 2.00GHz,","Rear 13pizzels, 5mp front",10,NAIROBI,-1.290343,36.740207,SO046,SO046
Karen,111989751,Redmi 9A,"RAM 2GB, R0M 32gb,cpu 2.00GHz,","Rear 13pizzels, 5mp front",10,NAIROBI,-1.3117522,36.698598,SO0026,_
Kapsoit,741020447,Tecno BE6,"RAM 2GB, R0M 32gb,cpu 1.3GHz,",5 both rear and front,11,KERICHO,-0.333333,35.21667,SO071,_
Calvary,114972370,Redmi 9A,"RAM 2GB, R0M 32gb,cpu 2.00GHz,","Rear 13pizzels, 5mp front",10,NAIROBI,-1.277427,36.872925,SO0036,SO0138
Kisumu,717379934,Redmi 9A,"RAM 2GB, R0M 32gb,cpu 2.00GHz,","Rear 13pizzels, 5mp front",10,NYANZA,-0.119471,34.788761,SO197,_
